Gene	Gene.name	Tissue	nTPM	brain_2	brain_1	mean_expression	sd_expression
ENSG00000115194	SLC30A3	cerebral cortex	28.8	Brain	Brain	3.496	11.3401572893386
ENSG00000115204	MPV17	choroid plexus	90.2	Brain	Brain	40.042	14.8509889727717
ENSG00000115239	ASB3	basal ganglia	19.5	Brain	Brain	11.194	3.92809919239651
ENSG00000115252	PDE1A	cerebellum	37.1	Brain	Brain	9.274	10.0912127868856
ENSG00000115266	APC2	amygdala	34.9	Brain	Brain	5.844	13.0479517510588
ENSG00000115306	SPTBN1	amygdala	148.1	Brain	Brain	68.728	37.2967145240129
ENSG00000115307	AUP1	choroid plexus	100.2	Brain	Brain	48.468	25.4435224104891
ENSG00000115350	POLE4	amygdala	28.3	Brain	Brain	12.05	6.1630978825753
ENSG00000115355	CCDC88A	hippocampal formation	48.2	Brain	Brain	14.864	13.865811132687
ENSG00000115365	LANCL1	cerebral cortex	87.4	Brain	Brain	35.468	25.7052399962596
ENSG00000115380	EFEMP1	choroid plexus	308.8	Brain	Brain	80.074	72.1189261864437
ENSG00000115392	FANCL	spinal cord	29.7	Brain	Brain	12.986	7.92606163622416
ENSG00000115419	GLS	cerebral cortex	83.5	Brain	Brain	32.192	23.498404982779
ENSG00000115421	PAPOLG	cerebellum	5.7	Brain	Brain	2.966	1.11293141142238
ENSG00000115423	DNAH6	choroid plexus	5.2	Brain	Brain	0.55	1.0850091695277
ENSG00000115464	USP34	cerebellum	61.3	Brain	Brain	37.424	10.3962033886395
ENSG00000115474	KCNJ13	choroid plexus	170.7	Brain	Brain	6.432	26.9110510643445
ENSG00000115525	ST3GAL5	spinal cord	39.3	Brain	Brain	12.856	11.6136998622229
ENSG00000115526	CHST10	basal ganglia	24.8	Brain	Brain	8.212	5.61588999252685
ENSG00000115568	ZNF142	cerebellum	11.7	Brain	Brain	5.894	1.79243421306425
ENSG00000115596	WNT6	basal ganglia	10.3	Brain	Brain	1.668	2.10028569485201
ENSG00000115652	UXS1	choroid plexus	45.5	Brain	Brain	24.39	10.0279863484192
ENSG00000115661	STK16	choroid plexus	39	Brain	Brain	17.954	6.70942711748909
ENSG00000115665	SLC5A7	basal ganglia	2.3	Brain	Brain	0.404	0.546215177753386
ENSG00000115685	PPP1R7	basal ganglia	169.4	Brain	Brain	66.556	24.657698719111
ENSG00000115687	PASK	basal ganglia	13.2	Brain	Brain	4.284	4.37946786442259
ENSG00000115756	HPCAL1	cerebellum	413.4	Brain	Brain	52.792	65.2135169411736
ENSG00000115808	STRN	spinal cord	21.8	Brain	Brain	8.74	3.99918359015376
ENSG00000115844	DLX2	amygdala	1.5	Brain	Brain	0.224	0.548303506001811
ENSG00000115896	PLCL1	spinal cord	30.5	Brain	Brain	8.126	9.37660593047987
ENSG00000115902	SLC1A4	amygdala	42.3	Brain	Brain	13.608	11.1308147381355
ENSG00000115944	COX7A2L	basal ganglia	163.1	Brain	Brain	77.542	39.8761966233348
ENSG00000115966	ATF2	cerebellum	27.7	Brain	Brain	17.844	4.63426281481043
ENSG00000115970	THADA	choroid plexus	16.3	Brain	Brain	9.094	3.0603727930847
ENSG00000115993	TRAK2	spinal cord	182.4	Brain	Brain	24.926	26.6029828770983
ENSG00000116014	KISS1R	basal ganglia	2.2	Brain	Brain	0.292	0.655538414011641
ENSG00000116035	VAX2	cerebellum	12.1	Brain	Brain	1.062	2.26939621566475
ENSG00000116096	SPR	choroid plexus	71.9	Brain	Brain	22.122	18.9719803060907
ENSG00000116106	EPHA4	cerebral cortex	24.3	Brain	Brain	4.766	4.32918948911376
ENSG00000116120	FARSB	cerebral cortex	22.1	Brain	Brain	12.13	4.87493589701444
ENSG00000116133	DHCR24	spinal cord	477	Brain	Brain	103.616	182.906916618642
ENSG00000116141	MARK1	cerebellum	9.8	Brain	Brain	4.022	2.71828952821138
ENSG00000116147	TNR	amygdala	34.8	Brain	Brain	4.288	9.81626388880687
ENSG00000116151	MORN1	cerebellum	26.1	Brain	Brain	4.612	4.56158046366943
ENSG00000116157	GPX7	choroid plexus	23.3	Brain	Brain	9.246	5.53634411163621
ENSG00000116161	CACYBP	cerebral cortex	78.6	Brain	Brain	29.388	15.5060572759454
ENSG00000116198	CEP104	spinal cord	12.1	Brain	Brain	7.642	1.82164872619082
ENSG00000116205	TCEANC2	midbrain	6.6	Brain	Brain	2.92	1.41305863072894
ENSG00000116209	TMEM59	choroid plexus	1060.8	Brain	Brain	300.406	161.84680134659
ENSG00000116212	LRRC42	choroid plexus	31.9	Brain	Brain	15.106	5.27703573253479
ENSG00000116213	WRAP73	cerebellum	22.4	Brain	Brain	13.156	3.49157352984091
ENSG00000116254	CHD5	cerebral cortex	83.7	Brain	Brain	7.446	16.9064799797629
ENSG00000116266	STXBP3	spinal cord	66.6	Brain	Brain	26.444	8.12914032656465
ENSG00000116288	PARK7	choroid plexus	626.4	Brain	Brain	272.496	120.633315126325
ENSG00000116329	OPRD1	basal ganglia	1.5	Brain	Brain	0.218	0.474960793226179
ENSG00000116337	AMPD2	choroid plexus	51.4	Brain	Brain	11.284	8.89162320756487
ENSG00000116396	KCNC4	amygdala	16.9	Brain	Brain	4.692	4.27130147923682
ENSG00000116525	TRIM62	cerebellum	12.9	Brain	Brain	4.42	2.39982992594671
ENSG00000116544	DLGAP3	amygdala	37.1	Brain	Brain	4.786	11.6223747968463
ENSG00000116574	RHOU	hippocampal formation	45.1	Brain	Brain	16.608	12.114097707436
ENSG00000116584	ARHGEF2	cerebellum	78	Brain	Brain	36.486	20.3026389156379
ENSG00000116586	LAMTOR2	choroid plexus	112.5	Brain	Brain	59.908	23.0849349231953
ENSG00000116641	DOCK7	basal ganglia	14.3	Brain	Brain	8.428	2.82532569912257
ENSG00000116661	FBXO2	amygdala	296	Brain	Brain	45.792	76.1018888445897
ENSG00000116675	DNAJC6	cerebral cortex	93	Brain	Brain	11.07	20.731315659639
ENSG00000116726	PRAMEF12	choroid plexus	0.1	Brain	Brain	0.002	0.014142135623731
ENSG00000116729	WLS	choroid plexus	148.8	Brain	Brain	49.46	31.67182485737
ENSG00000116745	RPE65	midbrain	5.4	Brain	Brain	0.666	1.58108849098541
ENSG00000116754	SRSF11	cerebellum	102.9	Brain	Brain	56.762	22.7095133351282
ENSG00000116786	PLEKHM2	cerebral cortex	156.6	Brain	Brain	37.232	27.3337680071626
ENSG00000116793	PHTF1	choroid plexus	28.2	Brain	Brain	7.274	5.4547418053713
ENSG00000116819	TFAP2E	cerebellum	36.1	Brain	Brain	2.462	5.21985573340404
ENSG00000116852	KIF21B	cerebral cortex	19.5	Brain	Brain	5.18	6.91035897942283
ENSG00000116857	TMEM9	choroid plexus	190.2	Brain	Brain	58.342	32.8886686646117
ENSG00000116863	ADPRS	choroid plexus	45.2	Brain	Brain	21.294	6.69387200721523
ENSG00000116885	OSCP1	choroid plexus	81.5	Brain	Brain	12.414	16.2249116849268
ENSG00000116983	HPCAL4	amygdala	96.4	Brain	Brain	12.66	30.0466168423912
ENSG00000117016	RIMS3	cerebellum	41	Brain	Brain	6.884	15.7599901584969
ENSG00000117020	AKT3	cerebellum	25.4	Brain	Brain	12.366	6.32276773547271
ENSG00000117069	ST6GALNAC5	basal ganglia	4.6	Brain	Brain	1.142	1.50320609745589
ENSG00000117115	PADI2	spinal cord	236	Brain	Brain	38.108	85.1579225405867
ENSG00000117152	RGS4	cerebral cortex	189.2	Brain	Brain	10.834	27.2748116587523
ENSG00000117154	IGSF21	cerebellum	95	Brain	Brain	7.446	16.8500979225641
ENSG00000117174	ZNHIT6	spinal cord	14.9	Brain	Brain	7.818	3.11727837861746
ENSG00000117266	CDK18	midbrain	127.8	Brain	Brain	25.152	50.5164238396882
ENSG00000117281	CD160	cerebellum	14.5	Brain	Brain	1.79	2.79001499520511
ENSG00000117408	IPO13	spinal cord	88.5	Brain	Brain	27.174	23.7387551037865
ENSG00000117410	ATP6V0B	choroid plexus	372	Brain	Brain	115.722	62.4051452941476
ENSG00000117411	B4GALT2	amygdala	82.6	Brain	Brain	27.444	17.8774188887112
ENSG00000117419	ERI3	amygdala	86.9	Brain	Brain	39.932	21.1848370880916
ENSG00000117461	PIK3R3	cerebellum	45.2	Brain	Brain	12.174	8.10421432317275
ENSG00000117477	CCDC181	choroid plexus	31.5	Brain	Brain	4.836	7.99213286645699
ENSG00000117480	FAAH	choroid plexus	45.3	Brain	Brain	15.298	11.8165309664737
ENSG00000117533	VAMP4	cerebellum	17.3	Brain	Brain	9.016	2.30928560381777
ENSG00000117598	PLPPR5	amygdala	5.4	Brain	Brain	0.73	1.70775541908921
ENSG00000117600	PLPPR4	cerebral cortex	51.8	Brain	Brain	2.406	7.30997110466385
ENSG00000117602	RCAN3	cerebellum	29.5	Brain	Brain	7.756	6.80525487234321
ENSG00000117616	RSRP1	spinal cord	60.1	Brain	Brain	27.626	16.0270792531813
ENSG00000117632	STMN1	cerebral cortex	1037.9	Brain	Brain	218.414	314.731278323433
ENSG00000117643	MAN1C1	choroid plexus	30.6	Brain	Brain	12.31	6.91904352243185
ENSG00000117682	DHDDS	cerebellum	57.9	Brain	Brain	19.576	10.5625746706695
ENSG00000117691	NENF	choroid plexus	200.6	Brain	Brain	66.19	42.536899947491
ENSG00000117697	NSL1	spinal cord	31.5	Brain	Brain	15.542	4.5699144814041
ENSG00000117877	POLR1G	cerebellum	5.7	Brain	Brain	2.76	0.998161575403624
ENSG00000117899	MESD	choroid plexus	28.2	Brain	Brain	14.812	6.1976835699036
ENSG00000117984	CTSD	choroid plexus	987.4	Brain	Brain	270.474	188.925443463169
ENSG00000118058	KMT2A	cerebellum	20	Brain	Brain	9.454	4.03465649854166
ENSG00000118096	IFT46	choroid plexus	69.1	Brain	Brain	20.366	11.5332458216962
ENSG00000118160	SLC8A2	cerebellum	100.4	Brain	Brain	5.304	15.369330180723
ENSG00000118162	KPTN	cerebellum	18.4	Brain	Brain	5.572	2.91729816292894
ENSG00000118200	CAMSAP2	cerebral cortex	37.7	Brain	Brain	12.524	6.52382009036336
ENSG00000118231	CRYGD	hypothalamus	3.1	Brain	Brain	0.506	1.27221644930316
ENSG00000118242	MREG	cerebellum	26.6	Brain	Brain	7.92	8.15202491434377
ENSG00000118271	TTR	choroid plexus	692067.5	Brain	Brain	14311.012	97848.7172178826
ENSG00000118276	B4GALT6	cerebral cortex	15.5	Brain	Brain	4.796	4.55183120808964
ENSG00000118292	C1orf54	choroid plexus	61.2	Brain	Brain	28.324	16.159113938125
ENSG00000118298	CA14	choroid plexus	116.2	Brain	Brain	7.962	18.8893003943438
ENSG00000118307	DNAI7	choroid plexus	13.9	Brain	Brain	2.064	4.05612462071563
ENSG00000118412	CASP8AP2	cerebellum	0.9	Brain	Brain	0.36	0.225876975726313
ENSG00000118432	CNR1	cerebellum	19.3	Brain	Brain	5.432	6.0812673222691
ENSG00000118454	ANKRD13C	cerebellum	14.3	Brain	Brain	7.76	1.87834056158784
ENSG00000118518	RNF146	cerebellum	71.1	Brain	Brain	29.162	13.330399354062
ENSG00000118702	GHRH	hypothalamus	47.4	Brain	Brain	1.502	6.90771500067948
ENSG00000118733	OLFM3	cerebellum	12.2	Brain	Brain	1.392	3.38296090574454
ENSG00000118785	SPP1	spinal cord	1980.6	Brain	Brain	313.324	732.918720208901
ENSG00000118816	CCNI	cerebellum	299.4	Brain	Brain	171.55	49.9928780642089
ENSG00000118946	PCDH17	cerebral cortex	15.2	Brain	Brain	3.276	4.55329259650506
ENSG00000118965	WDR35	choroid plexus	13.1	Brain	Brain	5.05	3.05388678405011
ENSG00000118997	DNAH7	choroid plexus	20.4	Brain	Brain	2.368	3.79550969930931
ENSG00000119125	GDA	cerebral cortex	71.1	Brain	Brain	12.406	23.6091594989084
ENSG00000119147	ECRG4	choroid plexus	424.3	Brain	Brain	36.55	64.7430722793046
ENSG00000119227	PIGZ	cerebellum	25.2	Brain	Brain	5.5	6.50582156885003
ENSG00000119231	SENP5	cerebellum	15.5	Brain	Brain	9.6	2.70592697911945
ENSG00000119242	CCDC92	amygdala	124.7	Brain	Brain	38.508	36.0019831653304
ENSG00000119280	C1orf198	spinal cord	138.8	Brain	Brain	31.426	25.2267254623152
ENSG00000119283	TRIM67	cerebellum	8.5	Brain	Brain	0.474	1.46228923128031
ENSG00000119333	DYNC2I2	choroid plexus	58.7	Brain	Brain	23.634	14.8218070175436
ENSG00000119401	TRIM32	cerebellum	13.9	Brain	Brain	6.716	3.01711850639524
ENSG00000119522	DENND1A	cerebral cortex	14.8	Brain	Brain	7.946	2.78869510849847
ENSG00000119537	KDSR	spinal cord	57	Brain	Brain	18.304	10.4475943916018
ENSG00000119559	C19orf25	amygdala	41.8	Brain	Brain	18.928	10.2763854520538
ENSG00000119574	ZBTB45	cerebral cortex	15.3	Brain	Brain	7.052	3.16261581218937
ENSG00000119630	PGF	choroid plexus	50.6	Brain	Brain	10.346	11.3144698758461
ENSG00000119632	IFI27L2	amygdala	159	Brain	Brain	62.174	43.8466195378613
ENSG00000119636	BBOF1	choroid plexus	25.3	Brain	Brain	7.454	6.98278378497824
ENSG00000119640	ACYP1	choroid plexus	45.7	Brain	Brain	24.368	9.9788846458665
ENSG00000119650	IFT43	choroid plexus	86.3	Brain	Brain	24.562	13.550162134733
ENSG00000119686	FLVCR2	choroid plexus	29.3	Brain	Brain	6.088	6.69119555529381
ENSG00000119698	PPP4R4	amygdala	9.7	Brain	Brain	2.106	3.48690904582806
ENSG00000119720	NRDE2	cerebellum	3.8	Brain	Brain	1.368	0.601508308253476
ENSG00000119723	COQ6	choroid plexus	35.3	Brain	Brain	13.468	8.85056068787712
ENSG00000119737	GPR75	basal ganglia	5.3	Brain	Brain	1.734	1.74667147010816
ENSG00000119760	SUPT7L	choroid plexus	44.2	Brain	Brain	29.888	7.11780291714704
ENSG00000119782	FKBP1B	amygdala	55.8	Brain	Brain	11.736	16.7788589040628
ENSG00000119820	YIPF4	cerebral cortex	12.9	Brain	Brain	6.746	2.65800370080054
ENSG00000119865	CNRIP1	amygdala	54.7	Brain	Brain	17.394	16.5141424857852
ENSG00000119866	BCL11A	basal ganglia	40.4	Brain	Brain	10.528	12.599822480123
ENSG00000119878	CRIPT	amygdala	16.9	Brain	Brain	6.778	4.58116329580786
ENSG00000119900	OGFRL1	cerebral cortex	42.9	Brain	Brain	15.362	11.3302717153146
ENSG00000119922	IFIT2	spinal cord	27.5	Brain	Brain	9.158	8.10812366628402
ENSG00000119946	CNNM1	basal ganglia	12.5	Brain	Brain	1.986	3.15594741426923
ENSG00000119950	MXI1	spinal cord	86.5	Brain	Brain	43.842	18.6220747874063
ENSG00000119977	TCTN3	choroid plexus	70.4	Brain	Brain	23.058	14.7361985240012
ENSG00000120049	KCNIP2	basal ganglia	249.2	Brain	Brain	28.442	62.3218181404116
ENSG00000120057	SFRP5	choroid plexus	222.2	Brain	Brain	12.836	37.694744721139
ENSG00000120068	HOXB8	spinal cord	50.6	Brain	Brain	4.318	11.0032776192981
ENSG00000120071	KANSL1	cerebellum	20	Brain	Brain	9.756	3.91199933224818
ENSG00000120088	CRHR1	cerebellum	19.5	Brain	Brain	1.23	3.93084349882374
ENSG00000120162	MOB3B	spinal cord	31.6	Brain	Brain	6.688	5.40784162308847
ENSG00000120235	IFNA6	amygdala	0.3	Brain	Brain	0.038	0.10279760181432
ENSG00000120242	IFNA8	cerebellum	0.2	Brain	Brain	0.004	0.0282842712474619
ENSG00000120251	GRIA2	basal ganglia	54.8	Brain	Brain	8.526	17.5065330079712
ENSG00000120254	MTHFD1L	cerebellum	21.1	Brain	Brain	8.598	3.90454941349818
ENSG00000120256	LRP11	cerebral cortex	31.6	Brain	Brain	15.116	7.95439449843511
ENSG00000120265	PCMT1	cerebral cortex	149.2	Brain	Brain	62.064	34.9644295050305
ENSG00000120324	PCDHB10	cerebral cortex	4.7	Brain	Brain	1.476	1.04736014116736
ENSG00000120327	PCDHB14	cerebellum	6.1	Brain	Brain	2.728	1.65431285445292
ENSG00000120333	MRPS14	midbrain	28.1	Brain	Brain	16.346	5.02760583261688
ENSG00000120337	TNFSF18	cerebral cortex	1.3	Brain	Brain	0.254	0.341192386928488
ENSG00000120451	SNX19	spinal cord	24.4	Brain	Brain	15.892	3.46067352180031
ENSG00000120509	PDZD11	amygdala	63.3	Brain	Brain	35.436	13.7595348758597
ENSG00000120645	IQSEC3	cerebellum	61.9	Brain	Brain	4.956	10.7743868616686
ENSG00000120662	MTRF1	choroid plexus	15.1	Brain	Brain	8.148	2.92220492653288
ENSG00000120675	DNAJC15	midbrain	14	Brain	Brain	6.176	3.30432987432662
ENSG00000120694	HSPH1	amygdala	124.5	Brain	Brain	48.882	34.5285429989835
ENSG00000120708	TGFBI	choroid plexus	483.5	Brain	Brain	82.534	99.8512927164334
ENSG00000120725	SIL1	choroid plexus	54.4	Brain	Brain	23.214	12.9029186699786
ENSG00000120798	NR2C1	cerebellum	17.8	Brain	Brain	7.626	2.81554069190184
ENSG00000120805	ARL1	choroid plexus	86.5	Brain	Brain	49.284	18.1981537525102
ENSG00000120832	MTERF2	cerebellum	36.2	Brain	Brain	17.452	7.23162668351982
ENSG00000120837	NFYB	spinal cord	53.4	Brain	Brain	28.032	11.2835701398999
ENSG00000120885	CLU	basal ganglia	7454.4	Brain	Brain	2396.644	2368.22577705035
ENSG00000120899	PTK2B	cerebellum	142.7	Brain	Brain	31.408	31.7857549919483
ENSG00000121104	FAM117A	choroid plexus	68.6	Brain	Brain	14.996	13.3205681070245
ENSG00000121207	LRAT	spinal cord	1.7	Brain	Brain	0.452	0.492904759604547
ENSG00000121406	ZNF549	cerebellum	8.9	Brain	Brain	3.606	1.64892172559611
ENSG00000121413	ZSCAN18	basal ganglia	96.9	Brain	Brain	39.562	25.7734786165935
ENSG00000121417	ZNF211	choroid plexus	29.9	Brain	Brain	10.904	4.66349085329601
ENSG00000121653	MAPK8IP1	amygdala	178.2	Brain	Brain	35.068	62.6440981795946
ENSG00000121716	PILRB	cerebellum	160.5	Brain	Brain	73.82	32.9430801627936
ENSG00000121753	ADGRB2	basal ganglia	52.7	Brain	Brain	7.072	15.1689537933133
ENSG00000121764	HCRTR1	hypothalamus	0.8	Brain	Brain	0.152	0.234076561694446
ENSG00000121766	ZCCHC17	amygdala	75.8	Brain	Brain	31.942	21.8374429429298
ENSG00000121871	SLITRK3	cerebral cortex	9.7	Brain	Brain	1.904	2.59709099429594
ENSG00000121898	CPXM2	choroid plexus	182.3	Brain	Brain	16.376	28.3459932020779
ENSG00000121904	CSMD2	basal ganglia	2.5	Brain	Brain	0.46	0.705083581671604
ENSG00000121905	HPCA	basal ganglia	946.2	Brain	Brain	35.102	145.313605259347
ENSG00000121957	GPSM2	spinal cord	38	Brain	Brain	11.818	10.8418442967561
ENSG00000121964	GTDC1	amygdala	19.1	Brain	Brain	10.244	4.36830700872191
ENSG00000122012	SV2C	basal ganglia	16.2	Brain	Brain	1.098	3.23094034457526
ENSG00000122025	FLT3	cerebellum	9.1	Brain	Brain	1.212	1.89646717743863
ENSG00000122042	UBL3	spinal cord	68.4	Brain	Brain	31.44	12.7539669699034
ENSG00000122126	OCRL	choroid plexus	28.5	Brain	Brain	14.438	6.67969478711263
ENSG00000122254	HS3ST2	cerebral cortex	20.5	Brain	Brain	1.376	3.09380948716257
ENSG00000122375	OPN4	basal ganglia	2.8	Brain	Brain	0.31	0.593931900171069
ENSG00000122484	RPAP2	cerebellum	6.5	Brain	Brain	2.034	1.25105832748738
ENSG00000122507	BBS9	choroid plexus	13.5	Brain	Brain	6.206	3.41499753488422
ENSG00000122512	PMS2	cerebellum	9.3	Brain	Brain	4.664	1.66742622148077
ENSG00000122515	ZMIZ2	cerebral cortex	63	Brain	Brain	23.57	10.328309619286
ENSG00000122543	OCM	amygdala	6.5	Brain	Brain	0.664	1.00990199564924
ENSG00000122545	SEPTIN7	cerebral cortex	235.1	Brain	Brain	87.81	45.7525520644277
ENSG00000122584	NXPH1	cerebral cortex	27.8	Brain	Brain	2.992	7.8404456349816
ENSG00000122585	NPY	basal ganglia	285.3	Brain	Brain	25.278	66.0332269175364
ENSG00000122679	RAMP3	spinal cord	107.4	Brain	Brain	29.902	28.536768190801
ENSG00000122733	PHF24	amygdala	23.8	Brain	Brain	3.604	8.74367316453236
ENSG00000122735	DNAI1	choroid plexus	67.4	Brain	Brain	3.548	11.2914856852228
ENSG00000122756	CNTFR	basal ganglia	107.9	Brain	Brain	21.046	28.2828224351453
ENSG00000122783	CYREN	choroid plexus	33.8	Brain	Brain	16.078	6.06543536132807
ENSG00000122859	NEUROG3	hippocampal formation	2.7	Brain	Brain	0.148	0.534995708546588
ENSG00000122958	VPS26A	cerebellum	39.8	Brain	Brain	27.12	6.33645107650157
ENSG00000122966	CIT	basal ganglia	8.8	Brain	Brain	2.108	2.38779549939662
ENSG00000122986	HVCN1	choroid plexus	520.1	Brain	Brain	23.486	73.1637554129259
ENSG00000123091	RNF11	amygdala	113.5	Brain	Brain	55.422	26.1670714557711
ENSG00000123095	BHLHE41	spinal cord	75.7	Brain	Brain	19.804	22.9609603013285
ENSG00000123119	NECAB1	amygdala	35.2	Brain	Brain	6.672	11.6730465743323
ENSG00000123154	WDR83	choroid plexus	10.1	Brain	Brain	5.472	2.07286058875366
ENSG00000123178	SPRYD7	cerebral cortex	16.1	Brain	Brain	7.572	4.14896298821176
ENSG00000123349	PFDN5	choroid plexus	1091.2	Brain	Brain	619.068	186.123809397105
ENSG00000123352	SPATS2	cerebellum	21.3	Brain	Brain	10.84	4.32868929589641
ENSG00000123353	ORMDL2	choroid plexus	57.9	Brain	Brain	29.496	12.9183615565645
ENSG00000123360	PDE1B	basal ganglia	56.3	Brain	Brain	3.942	8.23563907783775
ENSG00000123416	TUBA1B	cerebral cortex	1835.1	Brain	Brain	583.132	386.436137470161
ENSG00000123444	KBTBD4	cerebellum	17.1	Brain	Brain	9.448	3.35597183223809
ENSG00000123545	NDUFAF4	cerebral cortex	20.7	Brain	Brain	8.168	5.76263261833318
ENSG00000123552	USP45	cerebellum	8.4	Brain	Brain	4.678	1.21995148782772
ENSG00000123560	PLP1	midbrain	3980	Brain	Brain	526.444	1670.36180990337
ENSG00000123570	RAB9B	cerebellum	17.4	Brain	Brain	4.206	4.30781965779461
ENSG00000123575	FAM199X	cerebral cortex	21.9	Brain	Brain	11.144	4.94880566915093
ENSG00000123607	TTC21B	cerebellum	8.6	Brain	Brain	4.58	1.59540155523585
ENSG00000123685	BATF3	choroid plexus	25.5	Brain	Brain	2.662	3.74165138702697
ENSG00000123810	B9D2	choroid plexus	17.7	Brain	Brain	4.792	2.77979884751632
ENSG00000123901	GPR83	cerebellum	15.4	Brain	Brain	0.83	2.33336491718177
ENSG00000123933	MXD4	cerebellum	117.1	Brain	Brain	27.986	17.247312834178
ENSG00000123977	DAW1	choroid plexus	57.1	Brain	Brain	3.684	11.3125965550057
ENSG00000124067	SLC12A4	choroid plexus	38	Brain	Brain	16.04	9.00487396369548
ENSG00000124089	MC3R	hypothalamus	1.4	Brain	Brain	0.03	0.198206241793023
ENSG00000124097	HMGB1P1	choroid plexus	1.2	Brain	Brain	0.239024390243902	0.255810524393044
ENSG00000124134	KCNS1	cerebral cortex	26.8	Brain	Brain	0.846	3.79162395879364
ENSG00000124140	SLC12A5	basal ganglia	155.7	Brain	Brain	23.614	49.1057792434052
ENSG00000124160	NCOA5	cerebellum	30.9	Brain	Brain	18.472	4.75630794904225
ENSG00000124181	PLCG1	cerebellum	77.7	Brain	Brain	25.512	12.2367235844254
ENSG00000124191	TOX2	hypothalamus	31.3	Brain	Brain	9.256	9.58006348238521
ENSG00000124194	GDAP1L1	amygdala	40.8	Brain	Brain	5.948	13.2156407027307
ENSG00000124208	PEDS1-UBE2V1	spinal cord	3.7	Brain	Brain	1.334	0.960571683521679
ENSG00000124209	RAB22A	cerebral cortex	10.7	Brain	Brain	6.728	1.96749504057669
ENSG00000124313	IQSEC2	cerebellum	44.8	Brain	Brain	13.334	11.5827389168679
ENSG00000124356	STAMBP	spinal cord	47.6	Brain	Brain	14.378	6.70084642841058
ENSG00000124374	PAIP2B	amygdala	89.3	Brain	Brain	20.158	31.0535028094206
ENSG00000124406	ATP8A1	cerebral cortex	33.9	Brain	Brain	8.368	8.5498404329304
ENSG00000124422	USP22	cerebellum	123.1	Brain	Brain	54.394	19.3921655756722
ENSG00000124444	ZNF576	cerebellum	18.2	Brain	Brain	10.086	3.3764496508756
ENSG00000124479	NDP	basal ganglia	30.8	Brain	Brain	6.706	9.70441536368989
ENSG00000124493	GRM4	cerebellum	276.8	Brain	Brain	6.294	39.1200528462562
ENSG00000124507	PACSIN1	amygdala	161.8	Brain	Brain	20.776	50.8233015817889
ENSG00000124508	BTN2A2	choroid plexus	29	Brain	Brain	9.742	7.36389676124021
ENSG00000124535	WRNIP1	cerebellum	54.6	Brain	Brain	35.228	9.50832159699264
ENSG00000124574	ABCC10	cerebellum	24.4	Brain	Brain	11.336	4.24474513068686
ENSG00000124608	AARS2	cerebellum	9.3	Brain	Brain	5.598	1.39832115081491
ENSG00000124702	KLHDC3	cerebral cortex	222.9	Brain	Brain	77.428	61.3611591567599
ENSG00000124762	CDKN1A	choroid plexus	309.7	Brain	Brain	103.88	73.4819622459159
ENSG00000124772	CPNE5	basal ganglia	134	Brain	Brain	12.224	23.6107166951184
ENSG00000124785	NRN1	amygdala	118.2	Brain	Brain	26.24	40.5448051480063
ENSG00000124788	ATXN1	cerebral cortex	12.6	Brain	Brain	6.158	2.77371702277809
ENSG00000124839	RAB17	choroid plexus	74.1	Brain	Brain	14.53	23.5068140359864
ENSG00000124920	MYRF	hippocampal formation	82.2	Brain	Brain	16.084	30.4053590872479
ENSG00000125084	WNT1	basal ganglia	1.8	Brain	Brain	0.146	0.310503212379452
ENSG00000125124	BBS2	basal ganglia	51.8	Brain	Brain	18.84	12.1409914533117
ENSG00000125246	CLYBL	choroid plexus	67	Brain	Brain	15.662	19.2960595533315
ENSG00000125247	TMTC4	spinal cord	26.1	Brain	Brain	8.38	4.09723650022494
ENSG00000125249	RAP2A	cerebral cortex	42.6	Brain	Brain	12.544	8.30522726961761
ENSG00000125337	KIF25	cerebellum	3.7	Brain	Brain	0.418	0.652370872358692
ENSG00000125351	UPF3B	cerebellum	24.2	Brain	Brain	11.196	3.11546242513836
ENSG00000125355	TMEM255A	hypothalamus	26	Brain	Brain	4.244	6.07504631711578
ENSG00000125356	NDUFA1	choroid plexus	1202.6	Brain	Brain	313.714	291.921047482475
ENSG00000125363	AMELX	amygdala	0.2	Brain	Brain	0.018	0.062889602008729
ENSG00000125378	BMP4	choroid plexus	76.8	Brain	Brain	12.452	12.9396281055602
ENSG00000125386	FAM193A	cerebellum	18.3	Brain	Brain	10.842	2.97527841262848
ENSG00000125398	SOX9	basal ganglia	49.4	Brain	Brain	15.174	15.9701099634567
ENSG00000125450	NUP85	cerebellum	40.7	Brain	Brain	17.576	6.09360856193786
ENSG00000125492	BARHL1	cerebellum	29.5	Brain	Brain	0.656	4.17344178425081
ENSG00000125510	OPRL1	basal ganglia	8.4	Brain	Brain	1.754	2.56381491897826
ENSG00000125522	NPBWR2	cerebral cortex	0.4	Brain	Brain	0.016	0.0680935730732171
ENSG00000125611	CHCHD5	choroid plexus	49.7	Brain	Brain	22.514	8.90069958268587
ENSG00000125648	SLC25A23	amygdala	287	Brain	Brain	65.35	80.9769109193529
ENSG00000125650	PSPN	cerebellum	3.4	Brain	Brain	0.996	0.526428086838312
ENSG00000125651	GTF2F1	cerebellum	85.3	Brain	Brain	39.91	12.2979714604001
ENSG00000125656	CLPP	choroid plexus	116.2	Brain	Brain	45.826	21.5849135712319
ENSG00000125675	GRIA3	basal ganglia	24.8	Brain	Brain	4.278	7.75376906374426
